batter,delta_obs,delta_pred,denom_L,denom_R,prior_pa,stand,weight,stratum,delta_route_a,s2_L,s2_R,sampling_var,sampling_var_league,fell_back_L,fell_back_R
592206,0.0403572158924919,0.015237331570866,168.0,489.0,1196.0,R,250.08219178082192,high,0.0149401447610766,0.3417341834901625,0.2627501221797579,0.002571453357835339,0.002109783427257865,False,False
592273,-0.0380071428571428,0.0178416071450004,80.0,280.0,829.0,R,124.44444444444444,high,0.0149401447610766,0.13672551329113927,0.17802617602406554,0.0023448766876537604,0.004245007900332998,False,False
592325,0.005975,-0.0420659298018747,18.0,80.0,513.0,L,29.38775510204082,high,-0.0264673923516238,0.24080449889830827,0.20789756898734177,0.015976747328914454,0.016745933549234822,True,False
592450,0.0327116985376828,0.0227150669373257,175.0,508.0,874.0,R,260.3221083455344,high,0.0149401447610766,0.4010356075533661,0.4000085777850253,0.0030790505033688347,0.0020267556188587415,False,False
592518,0.0021167875942523,0.0164734029652278,142.0,495.0,1423.0,R,220.69073783359497,high,0.0149401447610766,0.31231994391169715,0.30655791741708577,0.0028187451488051823,0.002393639828441709,False,False
592626,-0.045454887218045,-0.042022350424748,42.0,399.0,596.0,L,76.0,high,-0.0264673923516238,0.24080449889830827,0.3270538651528318,0.006553124322523209,0.0064087097898418545,True,False
592663,0.0220457885811193,0.0143341568151882,122.0,290.0,1110.0,R,171.74757281553397,high,0.0149401447610766,0.27370448672266634,0.2786511803484071,0.0032043455384985556,0.003067506653884298,False,False
592669,0.0059022051773729,0.0183036293530666,126.0,298.0,978.0,R,177.11320754716982,high,0.0149401447610766,0.28418976971428567,0.2627648080017174,0.003137235463488695,0.002974461556796173,False,False
592696,-0.0380758642765684,-0.0310753557057643,33.0,284.0,1001.0,L,59.12933753943217,high,-0.0264673923516238,0.24080449889830827,0.25059220667645443,0.008179472952138556,0.008245811895576995,True,False
592885,0.0010626684636118,-0.0397907051739201,98.0,212.0,1425.0,L,134.03870967741935,high,-0.0264673923516238,0.2991247010309278,0.28754394140659933,0.004408632213920073,0.003728096625650392,False,False
593160,-0.0131583333333332,0.0123602776347976,120.0,211.0,1171.0,R,152.99093655589124,high,0.0149401447610766,0.225871025140056,0.19710126666666664,0.0028163877687421724,0.0034351753653885948,False,False
593428,-0.0217605112154408,0.0173552422700573,108.0,355.0,1349.0,R,165.61555075593952,high,0.0149401447610766,0.22022458116995502,0.24811789467653375,0.00273804013929055,0.0031884318539707624,False,False
593871,0.0033499542124542,-0.0044520787597858,130.0,336.0,1080.0,L,187.46781115879827,high,-0.0264673923516238,0.2553855076923076,0.25045117802949535,0.002709894316127513,0.0026542246403277897,False,False
593934,0.0543712998712998,0.0172160871924603,21.0,74.0,767.0,R,32.71578947368421,high,0.0149401447610766,0.26628528803612195,0.23095260292484268,0.015801232931849884,0.016147869432417042,True,False
594807,0.1821259573465299,0.0124412185522859,123.0,207.0,839.0,R,154.3090909090909,high,0.0149401447610766,0.3466574091696654,0.17068950855963605,0.0036429399179512185,0.003404552461073609,False,False
595281,-0.0503753276539973,-0.0343125994189627,56.0,218.0,921.0,L,89.1094890510949,high,-0.0264673923516238,0.14414808798701298,0.2395959816725151,0.0036731371358805437,0.005536009083400852,False,False
595777,0.0153975769341386,-0.0031387613194793,171.0,488.0,892.0,L,253.25644916540213,high,-0.0264673923516238,0.30594068544891634,0.2703660092192076,0.0023431555229071477,0.001960329154122238,False,False
595879,-0.0490331148671956,0.0168422133216666,65.0,223.0,1017.0,R,100.65972222222224,high,0.0149401447610766,0.17947274759615386,0.22136994639033644,0.0037538095363445446,0.005247385994473819,False,False
595909,-0.2374330676970136,-0.0374195942895529,41.0,303.0,261.0,L,72.22674418604652,medium,-0.0264673923516238,0.24080449889830827,0.27224872731842725,0.00677179111215028,0.0067624965223632965,True,False
595978,0.0708870648734177,0.0129549958478779,64.0,79.0,618.0,R,70.71328671328672,high,0.0149401447610766,0.18482063665674597,0.15549822233041216,0.004856154375994721,0.007408855777043043,False,False
596019,0.0089573727756998,0.0025503289519747,170.0,519.0,1669.0,L,256.11030478955007,high,-0.0264673923516238,0.365997056352245,0.3038980113895894,0.0027384691622242474,0.0019356347529460175,False,False
596103,-0.0476104627766599,0.0182390540505599,142.0,70.0,696.0,R,93.7735849056604,high,0.0149401447610766,0.16534876475876534,0.20974477929606625,0.004160781910780179,0.005541015706822524,False,False
596115,-0.1498594427244582,0.0129449960769676,19.0,85.0,1010.0,R,31.05769230769231,high,0.0149401447610766,0.26628528803612195,0.26374072492997197,0.01711784721779556,0.017033882265287802,True,False
596117,0.0122114762931034,-0.0207084497461182,58.0,128.0,76.0,L,79.82795698924731,low,-0.0264673923516238,0.15074814519056262,0.18889032129675193,0.004074811586692299,0.006256742850557084,False,False
596142,0.0057555717939349,0.017891680846971,119.0,161.0,766.0,R,136.85,high,0.0149401447610766,0.3104159575559035,0.2459994493012422,0.0041364843485227985,0.0038315033219826875,False,False
596146,0.0167564062982402,-0.039799600284108,82.0,316.0,997.0,L,130.2110552763819,high,-0.0264673923516238,0.261635480277025,0.236936619328913,0.0039404760170002615,0.003789274618482906,False,False
600869,-0.016354648526077,-0.0008648539823004,147.0,315.0,783.0,L,200.45454545454547,high,-0.0264673923516238,0.23319128161401542,0.3304458445455464,0.0026353696762036532,0.002493467006696337,False,False
602104,0.0491180501823808,0.012995178580042,83.0,218.0,391.0,R,120.22591362126244,medium,0.0149401447610766,0.3222007657948868,0.2630917585084344,0.005088779866225565,0.004385337693219853,False,False
605113,0.0910059970014992,0.0145274440216942,87.0,138.0,968.0,R,106.72,high,0.0149401447610766,0.21337328628708896,0.17344538114884164,0.003709417097082084,0.004920197567391097,False,False
605131,0.1209404761904762,0.0138453994218682,42.0,112.0,586.0,R,61.0909090909091,high,0.0149401447610766,0.26628528803612195,0.1756401145431145,0.007908341214042616,0.008631230405325633,True,False
605137,-0.01591553005242,-0.0148100685300877,196.0,401.0,1122.0,L,263.3031825795645,high,-0.0264673923516238,0.2607973700418629,0.2678272523441396,0.0019984972116423023,0.0019004957951341544,False,False
605141,-0.0104548375706214,0.0162928261104826,160.0,354.0,1350.0,R,220.38910505836577,high,0.0149401447610766,0.27502842889150947,0.30611410233510983,0.0025836567832134873,0.002389152270470995,False,False
605170,0.0417000598086124,-0.0119172938508798,64.0,209.0,401.0,L,97.992673992674,medium,-0.0264673923516238,0.23043320238095236,0.26690335388295916,0.004877568327312233,0.005051720853242867,False,False
605204,0.0039793226381461,0.0132367708519317,55.0,102.0,706.0,R,71.46496815286625,high,0.0149401447610766,0.25576559124579124,0.22500779460298964,0.00685624224781375,0.007357273279475779,False,False
605346,-0.0232755417956656,0.0019096172497409,19.0,51.0,2.0,R,27.685714285714287,low,0.0149401447610766,0.26628528803612195,0.24616298588235297,0.01884174037317536,0.019046460335615745,True,False
605361,-0.0453947610294117,-0.0328084772238769,34.0,128.0,51.0,L,53.7283950617284,low,-0.0264673923516238,0.24080449889830827,0.2556411854699803,0.00907968202319917,0.009187426407128788,True,False
606115,-0.013280791744614,0.0155303611567453,146.0,454.0,661.0,R,220.9466666666667,high,0.0149401447610766,0.1996423922531885,0.2584448836051385,0.0019366755037308822,0.0023890782322665196,False,False
606192,0.0414264880952381,0.0141994710398365,168.0,480.0,838.0,R,248.8888888888889,high,0.0149401447610766,0.3725255060949529,0.30886258298103686,0.0028608774412994986,0.0021196225263363467,False,False
606466,0.0893612175282078,0.0041849968473131,206.0,370.0,1229.0,L,264.65277777777777,high,-0.0264673923516238,0.42245156429078856,0.3084200538782685,0.00288430346216892,0.0018971497338578606,False,False
606992,0.1649864603481625,0.0125725143247255,22.0,47.0,344.0,R,29.97101449275362,medium,0.0149401447610766,0.26628528803612195,0.25660370396681237,0.01756353000480426,0.01756353000480426,True,True
607043,-0.0024960784313725,-0.0325059169779525,170.0,492.0,904.0,L,252.68882175226585,high,-0.0264673923516238,0.2560548494256874,0.27386697420230816,0.0020628451880897966,0.0019641240170035004,False,False
607208,0.0465504267744834,0.0182488924245493,168.0,371.0,1107.0,R,231.27272727272728,high,0.0149401447610766,0.3229287621542629,0.2804014301595396,0.0026779940159484374,0.0022766856649952785,False,False
607680,0.1211550212765957,0.015287388879506,125.0,188.0,1105.0,R,150.15974440894567,high,0.0149401447610766,0.2904763680000001,0.22086307847878026,0.003498614552929683,0.003495195623261382,False,False
607732,0.0659344134078212,0.0152855353601812,100.0,179.0,381.0,R,128.31541218637994,medium,0.0149401447610766,0.3352217337373738,0.25120447749670455,0.004755594306629071,0.0040963931259858696,False,False
608070,0.1059459073493556,0.0017849222404398,174.0,495.0,1543.0,L,257.4887892376682,high,-0.0264673923516238,0.4244351147764267,0.32272200189751765,0.003091245909027044,0.0019282419150739535,False,False
608324,-0.0356763796909492,0.0129079502405566,180.0,453.0,1255.0,R,257.6303317535545,high,0.0149401447610766,0.2981661608938547,0.29662233866651033,0.002311274121227472,0.0020458168039537584,False,False
608336,-0.1382742346938775,-0.0369546613664835,64.0,196.0,870.0,L,96.4923076923077,high,-0.0264673923516238,0.20116345634920635,0.27330361423338556,0.004537585200524643,0.005137225737188981,False,False
608348,0.0630885126777984,0.0121140728217902,49.0,264.0,483.0,R,82.65814696485623,high,0.0149401447610766,0.26628528803612195,0.25087963254695245,0.00638469527182567,0.00640637736053726,True,False
608369,-0.1022983997155049,-0.0373111089771029,152.0,370.0,1260.0,L,215.47892720306513,high,-0.0264673923516238,0.27580147991460435,0.3560976489343002,0.0027769094986916294,0.0023124359800417086,False,False
608385,-0.0421023076923077,-0.0353870411408213,104.0,400.0,458.0,L,165.07936507936506,high,-0.0264673923516238,0.21035941290141902,0.265200780726817,0.002685688614330687,0.0029890090405546234,False,False
608596,-0.1116590909090909,0.0135656159375789,16.0,22.0,468.0,R,18.526315789473685,high,0.0149401447610766,0.26628528803612195,0.25660370396681237,0.02830663522802182,0.02830663522802182,True,True
608671,-0.2495463917525773,-0.0348832939564652,13.0,194.0,277.0,L,24.367149758454108,medium,-0.0264673923516238,0.24080449889830827,0.17184590716307888,0.01940922663734807,0.019912250139667104,True,False
608701,0.0795826781913738,0.0174610082514334,143.0,161.0,501.0,R,151.4671052631579,high,0.0149401447610766,0.33651495587511077,0.24792342251552793,0.003893148473944027,0.003455946707252304,False,False
608841,-0.068880787037037,0.0143259957411406,96.0,216.0,263.0,R,132.92307692307693,medium,0.0149401447610766,0.16976521831140348,0.20237332555986218,0.0027053012350024075,0.003961785194667069,False,False
609280,0.1567210573135087,0.0147755568175406,61.0,258.0,366.0,R,98.67084639498432,medium,0.0149401447610766,0.25757461530054643,0.21283877977860224,0.005047491187827914,0.0053599205906274625,False,False
620443,0.0359061748195669,0.0117423205901723,43.0,87.0,323.0,R,57.55384615384615,medium,0.0149401447610766,0.26628528803612195,0.2219875300721731,0.008744261922546391,0.009142148978806613,True,False
621020,0.0934956743798207,0.0142471617619905,123.0,468.0,868.0,R,194.80203045685275,high,0.0149401447610766,0.28854871144875377,0.24457305149709915,0.0028685164737016185,0.0027132195536936797,False,False
621028,0.0151384943181818,0.015424981571091,128.0,176.0,574.0,R,148.21052631578948,high,0.0149401447610766,0.25447257080462593,0.19994909996753246,0.003124141391044847,0.0035383294035027275,False,False
621035,-0.0332752159375871,0.0145569861437011,97.0,148.0,1102.0,R,117.1918367346939,high,0.0149401447610766,0.18389816838487974,0.224109333838941,0.003410109661698208,0.004479017965598136,False,False
621043,0.0245312605325244,0.0189936764048221,86.0,276.0,1190.0,R,131.13812154696132,high,0.0149401447610766,0.3591064340629274,0.2861181563504611,0.0052123161968110725,0.004026064123656704,False,False
621438,0.002942917054986,0.0152918799699048,111.0,232.0,321.0,R,150.15743440233237,medium,0.0149401447610766,0.25049240294840297,0.2602107594417077,0.0033782864158923205,0.0035050170070167934,False,False
621439,0.006366265554492,0.0135000649463604,103.0,284.0,703.0,R,151.1731266149871,high,0.0149401447610766,0.2979829971444888,0.3460554345792067,0.004111543858563281,0.003488828227500352,False,False
621466,-0.1627310986964618,-0.0354631886135555,15.0,179.0,160.0,L,27.68041237113402,medium,-0.0264673923516238,0.24080449889830827,0.2304214665118322,0.01734090402252315,0.017558842570574208,True,False
621493,0.0618741088180113,0.0177133565939117,130.0,533.0,458.0,R,209.01960784313724,high,0.0149401447610766,0.2852010094812165,0.2780765104388551,0.002715573450866497,0.002529781209971693,False,False
621512,-0.1077464887640449,0.0101900306169418,48.0,89.0,251.0,R,62.36496350364965,medium,0.0149401447610766,0.26628528803612195,0.2884214971910112,0.00878830114709349,0.00843079785243957,True,False
621545,-0.0225397727272727,0.009265022526335,22.0,16.0,41.0,R,18.526315789473685,low,0.0149401447610766,0.26628528803612195,0.25660370396681237,0.028141608226840406,0.028141608226840406,True,True
621550,0.0056459084604715,0.0113873498536428,103.0,70.0,418.0,R,83.35260115606937,medium,0.0149401447610766,0.28024608928231487,0.3327084780538301,0.0074738140761867605,0.006251061258129017,False,False
621566,0.0232317905218513,-0.0397549509700959,187.0,493.0,1147.0,L,271.15000000000003,high,-0.0264673923516238,0.340313578632626,0.28427216945365197,0.0023964756858447954,0.0018342407524974413,False,False
622534,0.0699824561403508,0.0151161468534555,171.0,171.0,871.0,R,171.0,high,0.0149401447610766,0.2382185804609563,0.18709904754041967,0.0024872375906513215,0.003057830362590259,False,False
622569,0.0419155844155844,0.0154059409360736,22.0,42.0,190.0,R,28.875,medium,0.0149401447610766,0.26628528803612195,0.25660370396681237,0.018213488728124453,0.018213488728124453,True,True
622761,0.0992875478927202,0.0151525244947943,90.0,116.0,387.0,R,101.35922330097088,medium,0.0149401447610766,0.3132127991260924,0.2263975024737631,0.005431844820044579,0.005170826318889201,False,False
623520,-0.00259375,0.0163264703976236,32.0,16.0,338.0,R,21.333333333333332,medium,0.0149401447610766,0.26628528803612195,0.25660370396681237,0.024359146749054584,0.024359146749054584,True,True
623912,0.0331325,0.0130833097095947,96.0,150.0,497.0,R,117.07317073170732,high,0.0149401447610766,0.2294641328947368,0.17886006805369128,0.0035826518380114502,0.004484496443488353,False,False
623993,-0.0126000789302627,-0.0068979321501791,178.0,484.0,718.0,L,260.27794561933536,high,-0.0264673923516238,0.3501405535453564,0.35571930679037683,0.002702039006925429,0.0019095129135004423,False,False
624413,0.0096799614516941,0.0180349461832561,178.0,513.0,794.0,R,264.29522431259045,high,0.0149401447610766,0.3160143245096172,0.3065435476364522,0.0023729121487693246,0.0019961869162299665,False,False
624415,-0.0388297872340425,-0.0324534836678028,32.0,188.0,401.0,L,54.69090909090909,medium,-0.0264673923516238,0.24080449889830827,0.22998033985663893,0.008748440270660638,0.008958292008726236,True,False
624424,0.0640716584955182,-0.0381728232588139,106.0,381.0,895.0,L,165.85626283367557,high,-0.0264673923516238,0.34299105660377355,0.28900237838099185,0.003994301111138089,0.0029789123840249197,False,False
624428,-0.0823864764267989,-0.0265776035055895,31.0,260.0,757.0,L,55.39518900343643,high,-0.0264673923516238,0.24080449889830827,0.21176367025542023,0.008582362716064289,0.008804165778977947,True,False
624431,-0.0090026138909634,0.0208320672280923,103.0,130.0,293.0,R,114.93562231759655,medium,0.0149401447610766,0.2573580430230344,0.24722691144901607,0.004400367249607403,0.004559168704501682,False,False
624503,-0.0227650375939849,-0.0338985297557479,28.0,247.0,147.0,L,50.298181818181824,medium,-0.0264673923516238,0.24080449889830827,0.250882434317501,0.009615879032500314,0.009690980377826104,True,False
624512,-0.0365189781021898,-0.0282598589817482,20.0,137.0,159.0,L,34.904458598726116,medium,-0.0264673923516238,0.24080449889830827,0.19600577522541868,0.013470924034152046,0.01400688528515608,True,False
624585,0.0635220068238213,0.0185320911264803,155.0,416.0,831.0,R,225.8493870402802,high,0.0149401447610766,0.30324040569752825,0.2784823071304448,0.0026258183370873244,0.0023348054270763436,False,False
